2017-07-10 18:42:41,270 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,270 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,270 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,270 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,270 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,270 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,270 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,270 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,270 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,270 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,270 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,270 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,270 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,270 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,270 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,270 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,273 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,274 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:44:04,186 [10] INFO  Umbraco.Core.PluginManager - [Thread 5] Determining hash of code files on disk
2017-07-10 18:44:04,191 [10] INFO  Umbraco.Core.Profiling.LogProfiler - [Thread 5] [PluginManager] Determining hash of code files on disk (took 3ms)
2017-07-10 18:44:04,192 [10] INFO  Umbraco.Core.PluginManager - [Thread 5] Hash determined (took 2ms)
2017-07-10 18:44:04,202 [10] INFO  Umbraco.Core.PluginManager - [Thread 5] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2017-07-10 18:44:04,228 [10] INFO  Umbraco.Core.Profiling.LogProfiler - [Thread 5] [PluginManager] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler (took 26ms)
2017-07-10 18:44:04,228 [10] INFO  Umbraco.Core.PluginManager - [Thread 5] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 16 (took 25ms)
2017-07-10 18:44:04,235 [10] INFO  Umbraco.Core.PluginManager - [Thread 5] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2017-07-10 18:44:04,238 [10] INFO  Umbraco.Core.Profiling.LogProfiler - [Thread 5] [PluginManager] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter (took 2ms)
2017-07-10 18:44:04,238 [10] INFO  Umbraco.Core.PluginManager - [Thread 5] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 2ms)
2017-07-10 18:44:04,266 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 5] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:44:04,266 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 5] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:44:04,266 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 5] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:44:04,266 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 5] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:44:04,266 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 5] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:44:04,266 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 5] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:44:04,266 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 5] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:44:04,266 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 5] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:44:04,266 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 5] CurrentVersion different from configStatus: '6.1.6','6.0.1'
